Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,534.6099853515625,537.47998046875,531.0999755859375,537.47998046875,528.850341796875,33700
2020-01-03,533.0,533.489990234375,529.25,531.7999877929688,523.26171875,30800
2020-01-06,528.5,532.9199829101562,520.510009765625,525.8800048828125,517.4365844726562,61800
2020-01-07,523.0,527.5800170898438,520.4600219726562,527.1099853515625,518.6468505859375,50400
2020-01-08,529.9099731445312,531.5999755859375,527.6699829101562,527.6699829101562,519.1978149414062,32200
2020-01-09,530.4000244140625,533.0399780273438,527.7999877929688,529.5,520.9985961914062,50700
2020-01-10,529.3300170898438,530.3900146484375,523.5599975585938,526.2999877929688,517.8497314453125,45800
2020-01-13,526.9500122070312,529.6199951171875,523.1799926757812,528.4500122070312,519.96533203125,44200
2020-01-14,528.0,531.2999877929688,525.0,528.6900024414062,520.2014770507812,46600
2020-01-15,527.5599975585938,529.0599975585938,524.5800170898438,525.219970703125,516.787353515625,46200
2020-01-16,526.8699951171875,531.7899780273438,525.9299926757812,531.760009765625,523.2222290039062,40700
2020-01-17,531.2899780273438,531.5499877929688,527.4500122070312,530.8499755859375,522.3267822265625,52500
2020-01-21,529.72998046875,533.2899780273438,528.22998046875,528.5,520.0144653320312,41100
2020-01-22,529.0999755859375,531.4199829101562,528.6199951171875,530.4099731445312,521.893798828125,39900
2020-01-23,529.7899780273438,533.9099731445312,526.1799926757812,531.3499755859375,522.81884765625,39300
2020-01-24,532.2000122070312,532.2000122070312,517.9400024414062,522.989990234375,514.5931396484375,47900
2020-01-27,518.0900268554688,523.469970703125,515.6199951171875,519.0900268554688,510.7556457519531,30800
2020-01-28,520.9299926757812,525.9000244140625,517.6199951171875,518.4000244140625,510.0767517089844,63000
2020-01-29,521.1799926757812,531.0,519.239990234375,522.4099731445312,514.0223999023438,42300
2020-01-30,519.7000122070312,539.9500122070312,517.25,539.3400268554688,530.6805419921875,53500
2020-01-31,537.030029296875,537.0499877929688,526.8200073242188,526.8200073242188,518.3615112304688,45300
2020-02-03,529.010009765625,532.7999877929688,527.5800170898438,527.7000122070312,519.2274780273438,43800
2020-02-04,532.4299926757812,534.7999877929688,528.9299926757812,531.0599975585938,522.5335083007812,31100
2020-02-05,534.7999877929688,534.7999877929688,530.030029296875,533.0900268554688,524.5308837890625,50500
2020-02-06,533.8900146484375,536.0,529.489990234375,529.489990234375,520.9887084960938,39300
2020-02-07,527.260009765625,529.260009765625,523.4199829101562,525.989990234375,517.5447998046875,34200
2020-02-10,525.4199829101562,527.9199829101562,521.8699951171875,526.2100219726562,517.7613525390625,23200
